	en
141	SD: So these are only some of the team.
142	We marveled at the resonance that this image has had.
143	If you told me that it would be above the fold in all of these newspapers, I'm not sure I would have believed you, but it was.
144	Because this is a great mystery, and it's inspiring for us, and I hope it's inspiring to everyone.
145	But the more important thing is that this is just a small number of the team.
146	We're 200 people strong with 60 institutes and 20 countries and regions.
147	If you want to build a global telescope you need a global team.
148	And this technique that we use of linking telescopes around the world kind of effortlessly sidesteps some of the issues that divide us.
149	And as scientists, we naturally come together to do something like this.
150	CA: Wow, boy, that's inspiring for our whole team this week.
151	Shep, thank you so much for what you did and for coming here.
152	SD: Thank you.
153	(Applause)
